City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Atuona,PF,77.49,broken clouds,-9.8,-139.0333,Villa Enata
9,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
12,Dhidhdhoo,MV,81.39,broken clouds,6.8833,73.1,Dhidhoo beach
15,Sabha,LY,86.25,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
26,Panlaitan,PH,82.13,scattered clouds,12.1191,119.8486,Panlaitan Cetro Beach
28,Afua,BR,86.9,overcast clouds,-0.1567,-50.3867,Hotel Dias
39,Mao,ES,75.76,broken clouds,39.8885,4.2658,ARTIEM Capri
53,Castro,BR,76.95,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
58,Bandarbeyla,SO,80.26,light rain,9.4942,50.8122,JABIR HOTEL
59,Waingapu,ID,75.15,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
61,Gudari,IN,76.55,broken clouds,19.35,83.7833,Hotel maa majhigouri
62,Pascagoula,US,81.41,clear sky,30.3658,-88.5561,Regency Inn
63,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
64,Barhiya,IN,82.06,few clouds,25.2833,86.0333,Naraiyan Saw Chatt Samosa Hotel
67,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Kirakira,SB,79.3,scattered clouds,-10.4544,161.9205,SanBiz Lodge
81,Bubaque,GW,81.54,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
88,Hithadhoo,MV,82.47,overcast clouds,-0.6,73.0833,Scoop Guest House
91,Klamath Falls,US,80.87,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
92,San Luis,AR,78.03,clear sky,-33.295,-66.3356,Huarpes Hotel
93,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
94,Bonthe,SL,78.78,broken clouds,7.5264,-12.505,Bonthe Holiday Village
99,Sao Filipe,CV,78.66,broken clouds,14.8961,-24.4956,Hotel Xaguate
106,Warri,NG,77.38,overcast clouds,5.5167,5.75,BON Hotel Delta
110,Hilo,US,84.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
111,San Quintin,MX,75.2,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
113,Dehloran,IR,86.97,clear sky,32.6941,47.2679,کافه گیم استورم
118,Mecca,SA,86.31,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
124,Panaba,MX,85.35,overcast clouds,21.2833,-88.2667,Posada rosario
127,Pombas,CV,76.78,broken clouds,17.1503,-25.0201,Paul Paradis
131,Singaraja,ID,77.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
137,Lorengau,PG,81.41,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
138,Bintulu,MY,75.94,overcast clouds,3.1667,113.0333,900 Boutique INN
144,Puerto Madryn,AR,75.85,few clouds,-42.7692,-65.0385,Hotel Tolosa
147,Andros Town,BS,84.16,moderate rain,24.7,-77.7667,Hanks place
152,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
161,Butaritari,KI,83.61,few clouds,3.0707,172.7902,Isles Sunset Lodge
168,El Paujil,CO,81.88,scattered clouds,1.5701,-75.3286,Hostal La Reina
169,Rawson,AR,78.39,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
172,Eyl,SO,77.31,few clouds,7.9803,49.8164,Amiin Hotel
173,Tarakan,ID,78.19,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
174,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
178,Victoria,HK,84.38,few clouds,22.2855,114.1577,Mini Hotel Central
180,Padang,ID,75.96,moderate rain,-0.9492,100.3543,Mercure Padang
181,Fare,PF,76.53,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
195,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
199,Carutapera,BR,83.61,overcast clouds,-1.195,-46.02,Lidera
