City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-09-19 04:08:22,-9.8,-139.0333,77.94,76,11,18.57
1,Fare,PF,2021-09-19 04:08:23,-16.7,-151.0167,78.08,76,6,17.98
2,Esperance,AU,2021-09-19 04:08:23,-33.8667,121.9,57.04,81,98,15.37
3,Salta,AR,2021-09-19 04:08:24,-24.7859,-65.4117,58.57,62,12,4.63
4,Nikolskoye,RU,2021-09-19 04:08:24,59.7035,30.7861,37.02,85,100,7.23
5,Owando,CG,2021-09-19 04:08:25,-0.4819,15.8999,70.07,97,100,2.59
6,Kapaa,US,2021-09-19 04:08:25,22.0752,-159.319,85.98,70,40,4.0
7,Mataura,NZ,2021-09-19 04:08:26,-46.1927,168.8643,50.49,60,100,0.92
8,Mount Isa,AU,2021-09-19 04:08:27,-20.7333,139.5,91.17,19,0,12.66
9,Turukhansk,RU,2021-09-19 04:08:27,65.8167,87.9833,47.17,68,100,10.38
10,Rikitea,PF,2021-09-19 04:08:28,-23.1203,-134.9692,71.83,79,15,3.78
11,Bandarbeyla,SO,2021-09-19 04:08:28,9.4942,50.8122,80.11,75,100,24.27
12,Yellowknife,CA,2021-09-19 04:08:29,62.456,-114.3525,41.49,81,100,14.99
13,Avarua,CK,2021-09-19 04:08:29,-21.2078,-159.775,77.05,73,20,14.97
14,Busselton,AU,2021-09-19 04:08:30,-33.65,115.3333,61.09,76,71,10.85
15,Port Alfred,ZA,2021-09-19 04:08:30,-33.5906,26.891,59.13,78,83,26.11
16,Mahebourg,MU,2021-09-19 04:08:31,-20.4081,57.7,71.26,76,63,16.31
17,Butaritari,KI,2021-09-19 04:08:31,3.0707,172.7902,82.94,70,53,16.06
18,Marsabit,KE,2021-09-19 04:08:32,2.3284,37.9899,63.37,65,41,8.52
19,Gurupi,BR,2021-09-19 04:08:32,-11.7292,-49.0686,80.24,26,2,3.65
20,Dikson,RU,2021-09-19 04:08:33,73.5069,80.5464,34.32,75,14,24.58
21,Longyearbyen,SJ,2021-09-19 04:08:33,78.2186,15.6401,49.84,71,75,14.97
22,Punta Arenas,CL,2021-09-19 04:08:34,-53.15,-70.9167,33.91,93,0,6.91
23,Gwadar,PK,2021-09-19 04:08:34,25.1216,62.3254,82.04,78,89,5.84
24,Bontang,ID,2021-09-19 04:08:35,0.1333,117.5,83.61,72,45,6.02
25,Minervino Murge,IT,2021-09-19 04:08:35,41.0843,16.0784,66.72,75,32,3.69
26,Chuy,UY,2021-09-19 04:08:36,-33.6971,-53.4616,56.93,98,21,5.32
27,Beringovskiy,RU,2021-09-19 04:08:36,63.05,179.3167,47.79,70,3,1.32
28,Narsaq,GL,2021-09-19 04:08:37,60.9167,-46.05,39.42,98,100,3.13
29,Rocha,UY,2021-09-19 04:08:37,-34.4833,-54.3333,55.22,99,26,5.14
30,Norman Wells,CA,2021-09-19 04:08:38,65.282,-126.8329,43.05,88,99,6.4
31,Bluff,NZ,2021-09-19 04:08:38,-46.6,168.3333,50.81,70,100,10.71
32,Mehamn,NO,2021-09-19 04:08:39,71.0357,27.8492,40.3,80,5,13.0
33,Bengkulu,ID,2021-09-19 04:08:40,-3.8004,102.2655,82.63,73,53,12.35
34,Hilo,US,2021-09-19 04:08:40,19.7297,-155.09,78.53,78,90,5.75
35,Jamestown,US,2021-09-19 04:08:41,42.097,-79.2353,60.44,86,1,1.01
36,Arraial Do Cabo,BR,2021-09-19 04:08:41,-22.9661,-42.0278,70.18,90,16,7.02
37,Bethel,US,2021-09-19 04:08:41,41.3712,-73.414,73.49,84,1,4.61
38,Verkhnevilyuysk,RU,2021-09-19 04:08:42,63.4453,120.3167,40.73,58,100,8.12
39,Charagua,BO,2021-09-19 04:08:43,-19.8,-63.2167,80.58,38,7,12.48
40,Dunedin,NZ,2021-09-19 04:08:44,-45.8742,170.5036,50.81,81,100,5.99
41,Paamiut,GL,2021-09-19 04:08:44,61.994,-49.6678,36.95,77,100,7.61
42,Albany,US,2021-09-19 04:06:13,42.6001,-73.9662,64.09,82,75,4.23
43,Cape Town,ZA,2021-09-19 04:04:08,-33.9258,18.4232,58.1,85,93,8.01
44,Magsingal,PH,2021-09-19 04:08:45,17.685,120.4244,86.97,74,85,6.42
45,Constitucion,CL,2021-09-19 04:08:45,-35.3333,-72.4167,48.36,79,17,11.95
46,Vaini,TO,2021-09-19 04:08:46,-21.2,-175.2,73.56,78,75,13.8
47,Ilulissat,GL,2021-09-19 04:08:46,69.2167,-51.1,21.22,63,1,0.0
48,Saint George,US,2021-09-19 04:08:47,37.1041,-113.5841,75.63,61,20,3.0
49,Pevek,RU,2021-09-19 04:08:47,69.7008,170.3133,31.53,76,100,15.86
50,Mayo,US,2021-09-19 04:08:48,38.8876,-76.5119,74.19,95,1,0.0
51,Beyneu,KZ,2021-09-19 04:08:48,45.3167,55.2,58.55,41,2,8.7
52,Ribeira Grande,PT,2021-09-19 04:08:49,38.5167,-28.7,67.93,70,65,5.99
53,Barrow,US,2021-09-19 04:08:49,71.2906,-156.7887,33.82,86,90,12.66
54,Suleja,NG,2021-09-19 04:08:50,9.1758,7.1808,70.29,95,40,1.21
55,Aberdeen,GB,2021-09-19 04:08:50,57.1437,-2.0981,59.49,100,90,12.66
56,Beloha,MG,2021-09-19 04:08:51,-25.1667,45.05,62.11,63,99,6.58
57,Rudovci,RS,2021-09-19 04:08:52,44.3801,20.4051,53.08,59,88,1.1
